"TH_T_U_UID","TERM","CLA_GR_UID","BROAD_TERM_U_UID","TOP_TERM_U_UID"
183900,"ANTI BOAT LANDING OBSTACLE",1,136824,133297
184543,"ANTI INVASION DEFENCE SITE",1,133297,133297
204267,"ANTI LANDING CABLE",1,204176,133297
204268,"ANTI LANDING CABLE",1,204177,133297
204177,"ANTI LANDING OBSTACLE",1,184543,133297
204176,"ANTI LANDING OBSTACLE",1,182749,133297
204205,"ANTI LANDING POLE",1,204177,133297
204206,"ANTI LANDING POLE",1,204176,133297
204178,"ANTI LANDING TRENCH",1,204176,133297
204179,"ANTI LANDING TRENCH",1,204177,133297
204235,"ANTI MOTOR TORPEDO BOAT BATTERY",1,204226,133297
204237,"ANTI MOTOR TORPEDO BOAT BATTERY",1,204228,133297
204236,"ANTI MOTOR TORPEDO BOAT BATTERY",1,204227,133420
191851,"ANTI SEAPLANE OBSTACLE",1,135111,133297
185057,"ANTI SEAPLANE OBSTACLE",1,184543,133297
185059,"ANTI SEAPLANE OBSTACLE",1,136833,133297
185058,"ANTI SEAPLANE OBSTACLE",1,136829,133297
185038,"ANTI SUBMARINE DEFENCE",1,184543,133297
204140,"ANTI TANK BLOCK",1,184560,133297
204139,"ANTI TANK BLOCK",1,184559,133297
204141,"ANTI TANK BUOY",1,204139,133297
204142,"ANTI TANK CALTROP",1,204139,133297
204143,"ANTI TANK COFFIN",1,204139,133297
204146,"ANTI TANK CONE",1,204139,133297
204144,"ANTI TANK CUBE",1,204139,133297
204145,"ANTI TANK CYLINDER",1,204139,133297
205352,"ANTI TANK DITCH",1,184560,133297
205353,"ANTI TANK DITCH",1,184559,133297
183913,"ANTI TANK DITCH",1,136815,133297
204157,"ANTI TANK DITCH (ARTIFICIAL)",1,183913,133297
205357,"ANTI TANK DITCH (ARTIFICIAL)",1,205352,133297
205354,"ANTI TANK DITCH (ARTIFICIAL)",1,205353,133297
204156,"ANTI TANK DITCH (NATURAL IMPROVED)",1,183913,133297
205356,"ANTI TANK DITCH (NATURAL IMPROVED)",1,205352,133297
205355,"ANTI TANK DITCH (NATURAL IMPROVED)",1,205353,133297
204154,"ANTI TANK GIRDER",1,184559,133297
204155,"ANTI TANK GIRDER",1,184560,133297
182780,"ANTI TANK GUN EMPLACEMENT",1,133360,133297
205348,"ANTI TANK GUNNERY RANGE",1,205347,133297
205349,"ANTI TANK GUNNERY RANGE",1,205346,133551
204153,"ANTI TANK HAIRPIN",1,184560,133297
204152,"ANTI TANK HAIRPIN",1,184559,133297
205350,"ANTI TANK ISLAND",1,184543,133297
184559,"ANTI TANK OBSTACLE",1,184543,133297
184560,"ANTI TANK OBSTACLE",1,136815,133297
204147,"ANTI TANK PIMPLE",1,204139,133297
204159,"ANTI TANK SCAFFOLDING",1,184560,133297
204158,"ANTI TANK SCAFFOLDING",1,184559,133297
204148,"ANTI TANK TETRAHEDRON",1,204139,133297
204160,"ANTI TANK VERTICAL RAIL",1,184560,133297
204161,"ANTI TANK VERTICAL RAIL",1,184559,133297
204137,"ANTI TANK WALL",1,184560,133297
204138,"ANTI TANK WALL",1,184559,133297
205351,"ANTI TANK WALL (ASSAULT TRAINING)",1,136820,133297
132995,"ANTIMONY MINE",1,132676,132062
132994,"ANTIMONY MINE",1,135412,132062
186336,"ANTIMONY SMELTER",1,135746,132062
133157,"ANTIQUE MARKET",1,133236,133154
182132,"ANTLER WORKING SITE",1,135380,132062
131538,"APARTMENT",1,134997,131528
134016,"APIARY",1,134006,134003
192117,"APPRENTICE HOUSE",1,192091,143383
135728,"APPRENTICE HOUSE",1,135683,132062
134972,"APPRENTICE HOUSE",1,134971,131528
134210,"APPROACH ROAD",1,134220,134198
133556,"AQUARIUM",1,133555,133551
134211,"AQUEDUCT",1,135265,134198
132058,"AQUEDUCT",1,134476,134417
131946,"ARBORETUM",1,131898,131783
131885,"ARBOUR",1,131813,131783
135089,"ARCH",1,143383,143383
136732,"ARCH BRIDGE",1,135240,134198
143465,"ARCH BRIDGE",1,143703,143383
205495,"ARCH DAM",1,134426,134417
205496,"ARCH DAM",1,192296,133420
205494,"ARCH DAM",1,132799,132062
143743,"ARCHAEOLOGICAL FEATURE",1,135088,135088
131540,"ARCHBISHOPS PALACE",1,134998,131528
131541,"ARCHDEACONRY",1,131574,131528
135158,"ARCHERY BUTTS",1,135157,133551
133303,"ARCHERY BUTTS",1,135059,133297
182082,"ARCHERY GROUND",1,135327,133551
135807,"ARCHITECTURAL FRAGMENT",1,135088,135088
145779,"ARCHITECTURAL ORNAMENT WORKSHOP",1,135514,132062
132063,"ARCHITECTURAL ORNAMENT WORKSHOP",1,135392,132062
133430,"ARCHITECTURE SCHOOL",1,135189,133422
136566,"ARD MARKS",1,134018,134003
135063,"ARMAMENT DEPOT",1,139312,133297
135382,"ARMAMENT MANUFACTURING SITE",1,132062,132062
136021,"ARMOURED VEHICLE",1,133297,133297
133306,"ARMOURY",1,135063,133297
133307,"ARMY CAMP",1,133373,133297
204180,"ARMY HEADQUARTERS",1,135886,133297
204833,"ARMY OFFICE",1,204832,133297
133308,"ARMY OFFICE",1,204831,135088
133309,"ARSENAL",1,135063,133297
132493,"ARSENAL",1,135382,132062
132561,"ARSENIC CALCINER",1,135414,132062
132413,"ARSENIC CALCINER",1,132412,132062
132506,"ARSENIC MINE",1,135412,132062
132680,"ARSENIC MINE",1,132676,132062
145519,"ARSENIC WORKS",1,145521,132062
132316,"ARSENIC WORKS",1,132285,132062
135322,"ART AND EDUCATION VENUE",1,133551,133551
133557,"ART GALLERY",1,135322,133551
133431,"ART GALLERY",1,133422,133422
133424,"ART SCHOOL",1,135189,133422
136740,"ARTEFACT SCATTER",1,143383,143383
191919,"ARTIFICIAL DYE WORKS",1,132882,132062
145580,"ARTIFICIAL DYE WORKS",1,145522,132062
132291,"ARTIFICIAL DYE WORKS",1,132294,132062
192013,"ARTIFICIAL LIMB FACTORY",1,143600,143383
141127,"ARTIFICIAL LIMB FACTORY",1,132173,132062
154184,"ARTIFICIAL MOUND",1,135357,143383
131935,"ARTIFICIAL MOUND",1,131783,131783
177402,"ARTIFICIAL TEXTILE FACTORY",1,133017,132062
132325,"ARTIFICIAL TEXTILE FACTORY",1,135391,132062
132628,"ARTIFICIAL TEXTILE FACTORY",1,132625,132062
191881,"ARTILLERY CASTLE",1,131576,143383
133310,"ARTILLERY CASTLE",1,133331,133297
205346,"ARTILLERY FIRING RANGE",1,133602,133551
205347,"ARTILLERY FIRING RANGE",1,133352,133297
133311,"ARTILLERY FORT",1,133348,133297
133312,"ARTILLERY GROUND",1,136820,133297
135109,"ARTILLERY SCHOOL",1,135189,133422
133314,"ARTILLERY SCHOOL",1,136820,133297
133315,"ARTILLERY TOWER",1,133355,133297
135812,"ARTISTS STUDIO",1,133551,133551
133558,"ARTS CENTRE",1,135322,133551
186331,"ASBESTOS FACTORY",1,143600,143383
186330,"ASBESTOS FACTORY",1,132173,132062
136015,"ASH HOPPER",1,132062,132062
134019,"ASH HOUSE",1,134006,134003
131543,"ASH PIT",1,135300,135088
193682,"ASHKENAZI MATZEVAH",1,193680,133667
192172,"ASSART",1,131976,131783
182078,"ASSART",1,134070,134003
182079,"ASSART",1,135681,134003
133159,"ASSAY OFFICE",1,133160,133154
135117,"ASSEMBLY HALL",1,135120,133065
132473,"ASSEMBLY PLANT",1,135393,132062
135121,"ASSEMBLY ROOMS",1,133139,133065
135122,"ASSEMBLY ROOMS",1,133551,133551
133069,"ASSIZE COURT",1,133095,133065
136585,"ASTROLABE",1,135170,131783
190364,"ASTRONOMICAL CLOCK",1,183680,131783
133432,"ATHENAEUM",1,133484,133422
144483,"ATHLETICS TRACK",1,144465,133551
132757,"ATMOSPHERIC ENGINE HOUSE",1,132756,132062
134213,"ATMOSPHERIC RAILWAY",1,134330,134198
134212,"ATMOSPHERIC RAILWAY ENGINE HOUSE",1,135244,134198
132758,"ATMOSPHERIC RAILWAY ENGINE HOUSE",1,132756,132062
133156,"AUCTION HOUSE",1,133154,133154
133913,"AUGUSTINIAN ALIEN CELL",1,133912,133667
133998,"AUGUSTINIAN CELL",1,133911,133667
135354,"AUGUSTINIAN DOUBLE HOUSE",1,133923,133667
141149,"AUGUSTINIAN FRIARY",1,133924,133667
135662,"AUGUSTINIAN GRANGE",1,134007,134003
135356,"AUGUSTINIAN GRANGE",1,133935,133667
133942,"AUGUSTINIAN MONASTERY",1,133941,133667
133956,"AUGUSTINIAN NUNNERY",1,133954,133667
205449,"AUXILIARY FIRE STATION",1,133107,133065
133316,"AUXILIARY FORT",1,133348,133297
139310,"AUXILIARY HIDE",1,205445,133297
205450,"AUXILIARY HOSPITAL",1,134530,134482
205452,"AUXILIARY UNIT BOMB STORE",1,205445,133297
185025,"AUXILIARY UNIT OPERATIONAL BASE",1,205445,133297
205445,"AUXILIARY UNIT SITE",1,184543,133297
205446,"AUXILIARY UNIT SPECIAL DUTIES BASE",1,205445,133297
205448,"AUXILIARY UNIT SPECIAL DUTIES CONTROL STATION",1,205446,133297
205447,"AUXILIARY UNIT SPECIAL DUTIES OUTSTATION",1,205446,133297
136639,"AVENUE (LANDSCAPE FEATURE)",1,143383,143383
202694,"AVENUE (ROAD)",1,134220,134198
133559,"AVIARY",1,133555,133551
131876,"AVIARY",1,131783,131783
196114,"BABY GARDEN",1,183894,133667
134969,"BACK HOUSE",1,134006,134003
202956,"BACK SHED",1,131811,131783
143547,"BACK TO BACK HOUSE",1,143545,143383
131546,"BACK TO BACK HOUSE",1,131754,131528
131547,"BACK TO BACK TERRACE",1,131753,131528
134993,"BACK TO EARTH HOUSE",1,131754,131528
143550,"BACK TO EARTH HOUSE",1,143545,143383
131548,"BACK TO EARTH TERRACE",1,131753,131528
134970,"BACKYARD",1,131528,131528
133560,"BADGER PIT",1,133561,133551
135917,"BADMINTON COURT",1,144463,133551
136674,"BAGGAGE HALL",1,134198,134198
133317,"BAILEY",1,133355,133297
177882,"BAILEY BRIDGE",1,166395,143383
177881,"BAILEY BRIDGE",1,166394,134198
166369,"BAILEY BRIDGE",1,166367,134198
166370,"BAILEY BRIDGE",1,166368,143383
196655,"BAIT SHED",1,135102,134003
196654,"BAIT SHED",1,135101,135088
133561,"BAITING PLACE",1,133551,133551
135275,"BAKEHOUSE",1,131528,131528
132247,"BAKERY",1,135402,132062
133162,"BAKERY",1,133154,133154
192308,"BALANCE BEAM",1,144764,134417
134214,"BALANCE BEAM",1,135265,134198
135667,"BALANCE BEAM",1,134767,133420
